fe_filename,run_status,description,statistic,Strut1_Body_eff_tension_min,Strut1_Body_eff_tension_max,Strut2_Body_eff_tension_min,Strut2_Body_eff_tension_max,Strut3_Body_eff_tension_min,Strut3_Body_eff_tension_max,Strut4_Body_eff_tension_min,Strut4_Body_eff_tension_max,Strut5_Body_eff_tension_min,Strut5_Body_eff_tension_max,Strut6_Body_eff_tension_min,Strut6_Body_eff_tension_max,Strut7_Body_eff_tension_min,Strut7_Body_eff_tension_max,Strut8_Body_eff_tension_min,Strut8_Body_eff_tension_max
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_060deg_S1.sim,,,,-3268.875977,204.898727,-2520.003174,-213.009247,-3490.123291,-196.028488,-3001.5,-277.23291,-5532.180664,-214.09491,-4877.471191,-422.355286,-2467.643066,249.582153,-1883.470825,-82.410385
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_060deg_S2.sim,,,,-3228.648682,354.973877,-2532.29834,9.591927,-3632.013916,-106.151848,-3372.813477,51.09145,-4315.625488,973.919312,-3916.017334,455.953064,-2310.659424,420.865601,-2537.269531,837.000854
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_060deg_S3.sim,,,,-3233.046875,396.371582,-2476.267334,-34.177917,-3789.9104,-94.148613,-3613.194336,84.542511,-4144.587891,759.994568,-4117.678711,337.837555,-2268.806641,713.801941,-2490.713135,467.05838
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_060deg_S4.sim,,,,-3423.578857,431.157257,-2409.018066,90.951279,-3547.696289,15.219653,-3408.140625,168.816956,-4349.190918,660.956177,-3798.000732,393.518616,-2458.766602,460.929474,-2559.610352,528.034363
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_060deg_S5.sim,,,,-3084.220703,285.364685,-2446.97583,136.175949,-3552.735596,95.634903,-3449.391602,118.484497,-4151.632324,273.391602,-3842.490234,204.953003,-2212.542969,352.93811,-2384.666748,403.719788
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_300deg_S1.sim,,,,617.498047,5318.135254,640.136414,5747.162109,551.881775,4191.711914,571.954956,4561.086426,584.494507,5186.647949,667.873291,5966.394531,46.387596,2133.535156,362.106079,2663.019043
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_300deg_S2.sim,,,,-170.878876,3550.277588,-193.773773,3561.682861,-494.9758,3139.987305,-519.400208,3157.36499,-76.10141,3058.94873,-242.455338,3590.55957,-468.45578,1558.605103,-159.289627,1676.021118
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_300deg_S3.sim,,,,-171.509338,3551.148682,-193.347,3562.231201,-495.053497,3141.814453,-517.715576,3158.068115,-76.350624,3056.892578,-242.873993,3590.013428,-466.673126,1558.161011,-162.970932,1676.325562
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_300deg_S4.sim,,,,-171.589737,3550.083252,-191.507858,3561.569824,-493.992493,3140.568359,-515.022034,3157.625488,-75.714569,3056.625244,-242.122467,3590.34375,-462.30246,1558.785889,-162.657379,1677.939453
K:/1522/ctr7/orcaflex/anl/fsts/5_seeds/FST2F_FST1F_LWL_300deg_S5.sim,,,,-170.915359,3550.533447,-191.379089,3561.869385,-494.646393,3140.597168,-515.141602,3156.672852,-76.930916,3057.241943,-241.518539,3589.539795,-466.871582,1560.169312,-162.001236,1676.645264
,,,min,-3423.578857,204.898727,-2532.29834,-213.009247,-3789.9104,-196.028488,-3613.194336,-277.23291,-5532.180664,-214.09491,-4877.471191,-422.355286,-2467.643066,249.582153,-2559.610352,-82.410385
,,,max,617.498047,5318.135254,640.136414,5747.162109,551.881775,4191.711914,571.954956,4561.086426,584.494507,5186.647949,667.873291,5966.394531,46.387596,2133.535156,362.106079,2663.019043
,,,mean,-1710.78624,1971.159827,-1325.055467,1802.373038,-2044.327594,1555.608103,-1980.115314,1623.687322,-2190.633966,1815.394907,-2092.403711,1948.260378,-1381.365961,994.459125,-1303.077124,1106.723941
,,,stdev,1624.817364,1665.646469,1194.210106,1855.273187,1635.51783,1671.845427,1543.820412,1617.074858,2231.785187,1327.522972,1952.300411,1732.894981,966.758416,607.735813,1205.804307,611.894883
