left-h4,left-h6,right-h4,right-h6,ng-binding 2,ng-binding 3,text-crop 7,ng-binding 4,text-crop 8,ng-binding 6,enh-unit,enh-unit 2,thin,ng-binding 10,smallest,ng-hide,ng-binding 11,smallest 3
1155 Mitchell Bridge Rd,Partially Occupied Retail with Pad Site,"12,784 SF Retail","Athens, GA 30606",20,"June 23, 2025",Auction In Progress | Ends Today at,8:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,9,Proj Cap Rate:,"$1,450,000",Current Bid,Starting Bid,"$50,000",Projected Cap Rate
730 Holiday Dr,Foster Plaza 8 | Class A Trophy Building,"131,945 SF Office","Pittsburgh, PA 15220",21,"June 23, 2025",Auction In Progress | Ends Today at,8:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,9,Proj Cap Rate:,"$1,250,000",Current Bid,Starting Bid,"$250,000",Projected Cap Rate
65 Court St,Sought-After CBD Location | Opportunity Zone,"69,717 SF Office","Buffalo, NY 14202",26,"June 23, 2025",Auction In Progress | Ends Today at,8:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,9,Proj Cap Rate:,"$1,250,000",Current Bid,Starting Bid,"$250,000",Projected Cap Rate
309-337 Alexis Rd,High-Occupancy Retail Center,"19,520 SF Retail","Toledo, OH 43612",13,"June 23, 2025",Auction In Progress | Ends Today at,8:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,9,Proj Cap Rate:,"$550,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
8 Griffin Rd N,Griffin Center | Industrial/MF Redevelopment,"67,242 SF Office","Windsor, CT 06095",18,"June 23, 2025",Auction In Progress | Ends Today at,8:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,9,Proj Cap Rate:,"$550,000",Current Bid,Starting Bid,"$250,000",Projected Cap Rate
24 Centenary St,Fully Occupied Downtown Student Housing,11 Unit Multifamily,"Binghamton, NY 13901",26,"June 23, 2025",Auction In Progress | Ends Today at,8:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,9,Proj Cap Rate:,"$365,000",Current Bid,Starting Bid,"$50,000",Projected Cap Rate
310-312 Nesbit St,Renovated Medical Office with FF&E Included,"5,775 SF Office","Punta Gorda, FL 33950",22,"June 23, 2025",Auction In Progress | Ends Today at,8:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,9,Proj Cap Rate:,"$350,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
5665 McClelland Dr,REO Sale | The Palms Apartments,75 Unit Multifamily,"Baton Rouge, LA 70805",21,"June 23, 2025",Auction In Progress | Ends Today at,9PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,39,Proj Cap Rate:,"$600,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
7677 Broadview Rd,QSR with a Drive-Thru | Outparcel to Meijer,"3,486 SF Retail","Seven Hills, OH 44131",20,"June 23, 2025",Auction In Progress | Ends Today at,9PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,39,Proj Cap Rate:,"$400,000",Current Bid,Starting Bid,"$50,000",Projected Cap Rate
4 Griffin Rd N,Griffin Center | Industrial/MF Redevelopment,"65,554 SF Office","Windsor, CT 06095",7,"June 23, 2025",Auction In Progress | Ends Today at,9PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",3,39,Proj Cap Rate:,"$400,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
1710 N Marque Anne Dr,REO Sale | Cherry Creek Apartments,330 Unit Multifamily,"Baton Rouge, LA 70815",19,"June 23, 2025",Auction In Progress | Ends Today at,9:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",4,9,Proj Cap Rate:,"$2,250,000",Current Bid,Starting Bid,"$500,000",Projected Cap Rate
80 Cottontail Ln,REO Value Add Office Opportunity,"85,425 SF Office","Somerset, NJ 08873",23,"June 23, 2025",Auction In Progress | Ends Today at,9:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",4,9,Proj Cap Rate:,"$2,000,000",Current Bid,Starting Bid,"$250,000",Projected Cap Rate
682 US-202,Sale Leaseback | New 10-Year Lease at Closing,"9,600 SF Office","Bridgewater, NJ 08807",27,"June 23, 2025",Auction In Progress | Ends Today at,9:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",4,9,Proj Cap Rate:,"$1,100,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
16939 East Fwy,"Studio 6 Channelview, TX – Baytown West",56 Room Hotel,"Channelview, TX 77530",21,"June 23, 2025",Auction In Progress | Ends Today at,9:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",4,9,Proj Cap Rate:,"$950,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
11302 Tanner Rd,Turnkey Corporate Office in NW Houston Hub,"44,370 SF Office","Houston, TX 77041",21,"June 23, 2025",Auction In Progress | Ends Today at,9:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",4,9,Proj Cap Rate:,"$950,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
167-171 W Main St,Multifaceted Acquisition | Across from UCPAC,"11,000 SF Retail","Rahway, NJ 07065",17,"June 23, 2025",Auction In Progress | Ends Today at,9:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",4,9,Proj Cap Rate:,"$475,000",Current Bid,Starting Bid,"$50,000",Projected Cap Rate
1737 La Annie Dr,REO Sale | Olive Square Apartments,86 Unit Multifamily,"Baton Rouge, LA 70815",22,"June 23, 2025",Auction In Progress | Ends Today at,10PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",4,39,Proj Cap Rate:,"$700,000",Current Bid,Starting Bid,"$100,000",Projected Cap Rate
1245 N Germantown Pky,Germantown Square,"142,626 SF Retail","Cordova, TN 38016",20,"June 23, 2025",Auction In Progress | Ends Today at,10:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",5,9,Proj Cap Rate:,"$7,875,000",Current Bid,Starting Bid,"$1,000,000",Projected Cap Rate
1980 Sproul Rd,Absolute NNN Bank of America | Philly MSA,"4,400 SF Retail","Broomall, PA 19008",13,"June 23, 2025",Auction In Progress | Ends Today at,10:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",5,9,Proj Cap Rate:,"$2,500,000",Current Bid,Starting Bid,"$250,000",Projected Cap Rate
9110 E Nichols Ave,Receivership Sale | Highland Place II,"143,958 SF Office","Centennial, CO 80112",30,"June 23, 2025",Auction In Progress | Ends Today at,10:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",5,9,Proj Cap Rate:,"$2,250,000",Current Bid,Starting Bid,"$250,000",Projected Cap Rate
5555 Carmichael Rd,Courtyard Montgomery,146 Room Hotel,"Montgomery, AL 36117",18,"June 23, 2025",Auction In Progress | Ends Today at,10:30PM,Auction In Progress | Ends Tomorrow at,"Jun 25, 2025",5,9,Proj Cap Rate:,"$1,500,000",Current Bid,Starting Bid,"$250,000",Projected Cap Rate
