fe_filename,run_status,description,statistic,FST1_Heading,FST2_Heading,WindDirection,WindSpeed,WaveDirection,Hs,WaveTz,WaveGamma,RefCurrentSpeed,RefCurrentDirection,CurrentFactor[0]
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_.sim,,,,180,0,0,0,0,0,7.773591,3.3,0,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_000deg.sim,,,,180,0,0,29.4,0,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_015deg.sim,,,,180,0,15,29.4,60,1.69,3.762418,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_030deg.sim,,,,180,0,30,29.4,60,1.69,3.762418,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_045deg.sim,,,,180,0,45,26.7,60,1.69,3.762418,3.3,0.53,45,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_060deg.sim,,,,180,0,60,26.7,60,1.69,3.762418,3.3,0.53,60,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_075deg.sim,,,,180,0,75,26.7,75,1.69,3.762418,3.3,0.53,75,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_090deg.sim,,,,180,0,90,26.7,75,1.69,3.762418,3.3,0.53,90,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_105deg.sim,,,,180,0,105,26.7,105,1.3,3.179399,3.3,0.53,105,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_120deg.sim,,,,180,0,120,23,120,1.3,3.179399,3.3,0.46,120,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_135deg.sim,,,,180,0,135,23,135,1.3,3.179399,3.3,0.46,135,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_150deg.sim,,,,180,0,150,23,150,1.62,3.669135,3.3,0.46,150,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_165deg.sim,,,,180,0,165,23,165,1.62,3.669135,3.3,0.46,165,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_180deg.sim,,,,180,0,180,34.6,165,1.62,3.669135,3.3,0.69,180,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_195deg.sim,,,,180,0,195,34.6,195,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_210deg.sim,,,,180,0,210,34.6,210,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_225deg.sim,,,,180,0,225,34.6,225,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_240deg.sim,,,,180,0,240,34.6,240,0.41,1.251548,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_255deg.sim,,,,180,0,255,29.4,255,0.24,0.940605,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_270deg.sim,,,,180,0,270,29.4,270,0.24,0.940605,3.3,0.4,177,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_285deg.sim,,,,180,0,285,29.4,285,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_300deg.sim,,,,180,0,300,29.4,300,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_315deg.sim,,,,180,0,315,29.4,315,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_330deg.sim,,,,180,0,330,29.4,330,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_345deg.sim,,,,180,0,345,29.4,345,0.24,0.940605,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_cl_015deg.sim,,,,180,0,15,29.4,15,1.05,2.42536,3.3,0.4,357,1
K:/1522/ctr7/orcaflex/anl/fsts/FST2F_FST1F_LWL_cl_030deg.sim,,,,180,0,30,29.4,30,1.05,2.42536,3.3,0.4,357,1
